player_name,breaking_balls,fastballs,offspeed,other,cluster
"Anderson, Tyler",0.018531228551818806,0.6101578586135896,0.3713109128345916,0.0,1
"Bassitt, Chris",0.2549881636794048,0.6493067297937098,0.09570510652688535,0.0,0
"Bello, Brayan",0.28054632705795496,0.4499815430047988,0.26947212993724623,0.0,1
"Berríos, José",0.0,0.554829838432451,0.15950498453076659,0.2856651770367824,2
"Bibee, Tanner",0.12526315789473685,0.6950877192982456,0.17964912280701753,0.0,0
"Blanco, Ronel",0.3954983922829582,0.38263665594855306,0.22186495176848875,0.0,3
"Brown, Hunter",0.18103149878850813,0.6936656282450675,0.12530287296642437,0.0,0
"Burnes, Corbin",0.3608314387788243,0.5300422215004872,0.10880155894771029,0.0003247807729782397,3
"Canning, Griffin",0.3477502615974887,0.38576909661667247,0.26648064178583886,0.0,3
"Castillo, Luis",0.22296114805740286,0.6338816940847042,0.14280714035701786,0.00035001750087504374,0
"Cease, Dylan",0.5499371859296482,0.4412688442211055,0.008793969849246231,0.0,3
"Corbin, Patrick",0.3590010405827263,0.6066597294484911,0.03364550815123136,0.000693721817551162,0
"Cortes, Nestor",0.16760365425158116,0.736120871398454,0.09627547434996486,0.0,0
"Crawford, Kutter",0.2565556343019135,0.6576895818568391,0.08575478384124734,0.0,0
"Eflin, Zach",0.2850715746421268,0.6548057259713701,0.06012269938650307,0.0,0
"Eovaldi, Nathan",0.16603053435114504,0.5259541984732824,0.30801526717557254,0.0,1
"Fedde, Erick",0.20173010380622838,0.6342560553633217,0.16401384083044981,0.0,0
"Feltner, Ryan",0.35625485625485626,0.4961149961149961,0.14724164724164723,0.0003885003885003885,3
"Flaherty, Jack",0.4958206686930091,0.45288753799392095,0.026595744680851064,0.024696048632218845,3
"Fried, Max",0.32512671976828383,0.5380159304851557,0.13649529326574947,0.0003620564808110065,3
"Gausman, Kevin",0.08143875127248049,0.5659993213437394,0.32507634882931796,0.027485578554462164,1
"Gibson, Kyle",0.29260333575054387,0.6080493110949964,0.09934735315445975,0.0,0
"Gilbert, Logan",0.43717105263157896,0.42894736842105263,0.13388157894736843,0.0,3
"Gomber, Austin",0.3906905761159863,0.40404425791682563,0.20488363220144984,0.00038153376573826786,3
"Gore, MacKenzie",0.21230357739886327,0.6954195921096623,0.09227683049147442,0.0,0
"Gray, Sonny",0.3407258064516129,0.594758064516129,0.06411290322580646,0.0004032258064516129,0
"Houck, Tanner",0.4132503660322108,0.3374816983894583,0.2492679355783309,0.0,3
"Imanaga, Shota",0.10810810810810811,0.5455598455598456,0.34594594594594597,0.0003861003861003861,1
"Irvin, Jake",0.3156856297270635,0.6497862545215389,0.03452811575139757,0.0,0
"Keller, Mitch",0.3456140350877193,0.643859649122807,0.009824561403508772,0.0007017543859649122,0
"Kikuchi, Yusei",0.4193216855087359,0.46933881466255567,0.11133949982870846,0.0,3
"King, Michael",0.23529411764705882,0.5232198142414861,0.24148606811145512,0.0,1
"Kirby, George",0.3188259109311741,0.5796221322537112,0.10155195681511471,0.0,0
"Lugo, Seth",0.289803795432615,0.5107751688645867,0.09424252171116114,0.10517851399163718,0
"López, Pablo",0.3183646112600536,0.4808981233243968,0.2007372654155496,0.0,3
"Manaea, Sean",0.25267022696929237,0.6305073431241656,0.11682242990654206,0.0,0
"Mikolas, Miles",0.4,0.5094269870609982,0.08502772643253234,0.005545286506469501,3
"Miller, Bryce",0.21303714493809178,0.6161689730517116,0.17079388201019666,0.0,0
"Morton, Charlie",0.4238078164216565,0.46647543922552887,0.10971674435281463,0.0,3
"Nola, Aaron",0.3290464240903388,0.5746549560853199,0.09629861982434128,0.0,0
"Ober, Bailey",0.3250463821892393,0.38144712430426714,0.2935064935064935,0.0,3
"Peralta, Freddy",0.28443592201981466,0.538830297219559,0.1767337807606264,0.0,0
"Pfaadt, Brandon",0.32628182144137685,0.5546790964503406,0.11868053065614916,0.00035855145213338117,0
"Quintana, Jose",0.21847246891651864,0.5289520426287744,0.19325044404973357,0.059325044404973354,1
"Ragans, Cole",0.23081741309113687,0.533041027247103,0.2361415596617601,0.0,1
"Rea, Colin",0.21374622356495468,0.6986404833836858,0.08761329305135952,0.0,0
"Rodón, Carlos",0.34235976789168276,0.5286911669890393,0.1289490651192779,0.0,3
"Sale, Chris",0.40355871886121,0.45480427046263344,0.14163701067615658,0.0,3
"Sears, JP",0.33870402802101574,0.4690017513134851,0.19194395796847635,0.0003502626970227671,3
"Severino, Luis",0.2431438127090301,0.6839464882943144,0.07290969899665552,0.0,0
"Singer, Brady",0.45506756756756755,0.5260135135135136,0.018581081081081082,0.00033783783783783786,3
"Skubal, Tarik",0.18779661016949153,0.5318644067796611,0.271864406779661,0.00847457627118644,1
"Sánchez, Cristopher",0.16756176154672395,0.47511636233440746,0.3573218761188686,0.0,1
"Taillon, Jameson",0.3017345703912868,0.6555062525211779,0.042759177087535294,0.0,0
"Valdez, Framber",0.3592814371257485,0.46744011976047906,0.17327844311377247,0.0,3
"Wacha, Michael",0.17418111753371868,0.5032755298651252,0.3225433526011561,0.0,1
"Webb, Logan",0.21256642700844014,0.47827446076899033,0.3088465145357924,0.00031259768677711783,1
"Wheeler, Zack",0.22669220945083013,0.6998722860791826,0.07343550446998723,0.0,0
