pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,pitcher_run_exp,run_exp,bat_speed,swing_length,pa,bip,singles,doubles,triples,hrs,so,k_percent,bb,bb_percent,api_break_z_with_gravity,api_break_z_induced,api_break_x_arm,api_break_x_batter_in,hyper_speed,bbdist,hardhit_percent,barrels_per_bbe_percent,barrels_per_pa_percent,release_pos_z,release_pos_x,plate_x,plate_z,obp,barrels_total,batter_run_value_per_100,xobp,xslg,pitcher_run_value_per_100,xbadiff,xobpdiff,xslgdiff,wobadiff,swing_miss_percent,arm_angle,attack_angle,attack_direction,swing_path_tilt,rate_ideal_attack_angle,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
2509,650489,"Castro, Willi",2509,100,0.247,0.138,0.315,0.385,0.317,0.32,0.244,138,558,86.7,13.3,2241,89.2,89.48,374,1290,1219,0.3,6.47,112,146,108,149,293,322,295,-8.477,8.477,68.9,7,635,413,90,31,5,12,150,23.6,51,8,2.30014,0.61,0.36971,-0.36919,91.2,156,36.89320388,7.038834951,4.566929134,5.81,-1.01,-0.12,2.31,0.331,29,0.337863691,0.332,0.381,-0.337863691,0.003,-0.001,0.004,-0.003,29,39,8.249649596,-4.646594031,37.07381917,0.434567901,32.994814,32.30781497
2509,673548,"Suzuki, Seiya",2509,100,0.283,0.199,0.37,0.482,0.365,0.346,0.255,145,512,91.7,16.2,2262,89.7,90.08,244,994,1515,0.4,6.46,108,150,123,146,304,323,294,-28.61,28.61,70.7,7.1,582,356,91,27,6,21,160,27.5,60,10.3,2.29045,0.57863,0.34972,0.06829,92.3,178,49.15730337,11.51685393,7.04467354,5.78,-0.87,0.24,2.27,0.363,41,1.140294938,0.339,0.453,-1.140294938,0.028,0.024,0.029,0.019,24.5,37.6,5.708165771,0.585379653,30.08936648,0.448677249,39.22963486,31.42353187
2495,665862,"Chisholm Jr., Jazz",2495,100,0.256,0.18,0.309,0.436,0.327,0.316,0.24,144,562,88.9,10.7,2231,88.9,89.05,348,1186,1309,0.1,6.46,116,146,109,151,294,323,297,-15.29,15.29,69.1,7.3,616,412,95,21,4,24,152,24.7,48,7.8,2.3601,0.58226,0.37426,-0.15056,91.8,136,41.2195122,9.756097561,6.493506494,5.69,-0.56,-0.2,2.25,0.318,40,0.612825651,0.304,0.415,-0.612825651,0.016,0.014,0.021,0.011,29.3,36.6,12.43048175,-3.83908607,35.07846695,0.508165226,34.98279036,27.88745936
2487,680977,"Donovan, Brendan",2487,100,0.278,0.14,0.3,0.417,0.332,0.335,0.277,163,587,88.3,12.8,2235,89.6,89.94,166,1100,1387,0.3,6.48,117,146,108,151,293,322,303,-8.761,8.761,67.6,6.7,652,511,112,34,3,14,81,12.4,47,7.2,2.26577,0.61101,0.35713,-0.13975,91.6,164,37.64705882,5.490196078,4.294478528,5.75,-0.77,-0.14,2.38,0.342,28,0.352271813,0.343,0.419,-0.352271813,0.001,-0.001,-0.002,-0.003,15.1,38.1,5.904655132,2.921650915,30.05942125,0.453914767,36.19652554,25.24654218
2483,668709,"Bleday, JJ",2483,100,0.243,0.194,0.279,0.437,0.33,0.316,0.24,139,572,88.3,18.4,2236,88.8,88.97,294,1125,1358,0.2,6.44,114,145,112,151,292,323,300,-8.413,8.413,69.4,7.2,640,448,72,43,4,20,125,19.5,65,10.2,2.40137,0.54996,0.38437,-0.29478,91.6,163,36.16071429,8.258928571,5.78125,5.76,-1.19,-0.21,2.27,0.322,37,0.338824003,0.319,0.397,-0.338824003,0.003,0.003,0.04,0.014,26.1,37.5,9.649767001,-6.976150706,29.51997408,0.515406162,39.97353292,30.91165367
2470,668930,"Turang, Brice",2470,100,0.254,0.095,0.3,0.349,0.294,0.297,0.261,142,558,85.1,4,2252,89.3,89.59,162,1178,1292,0.3,6.45,113,146,101,150,288,316,300,7.001,-7.001,63,5.9,616,462,107,24,4,7,104,16.9,48,7.8,2.29279,0.61012,0.3889,-0.23625,90.3,153,29.71800434,2.386117137,1.785714286,5.72,-1.11,-0.1,2.29,0.314,11,-0.283441296,0.321,0.34,0.283441296,-0.007,-0.007,0.009,-0.003,13.8,38,-0.066169625,5.718169274,30.25524664,0.241737488,35.57749048,30.02421318
2469,547180,"Harper, Bryce",2469,100,0.285,0.24,0.331,0.525,0.38,0.357,0.267,157,550,91,13.4,2233,88.8,89.18,348,1305,1164,0.4,6.49,116,146,129,151,294,326,302,-34.005,34.005,72.5,7.2,620,415,85,42,0,30,138,22.3,65,10.5,2.40295,0.54525,0.3085,-0.08868,92.1,166,48.19277108,10.60240964,7.096774194,5.84,-0.48,-0.17,2.3,0.362,44,1.37727825,0.347,0.474,-1.37727825,0.018,0.015,0.051,0.023,26.7,38.6,10.56188481,-0.000212387,36.02020972,0.42892562,38.79713361,31.10374329
2460,650490,"Díaz, Yandy",2460,100,0.281,0.133,0.314,0.414,0.331,0.336,0.277,158,563,92.2,5,2267,90.2,90.25,153,1079,1381,0.1,6.44,111,151,124,149,307,327,293,-6.02,6.02,72.1,7.5,621,472,112,31,1,14,95,15.3,50,8.1,2.16097,0.68883,0.42786,0.19584,92.7,152,48.93617021,7.659574468,5.797101449,5.77,-1.02,0.13,2.31,0.341,36,0.244715447,0.34,0.423,-0.244715447,0.004,0.001,-0.009,-0.005,14.2,38.9,2.90154025,8.058122073,25.31089603,0.368951613,37.89440173,30.11603101
2454,514888,"Altuve, Jose",2454,100,0.295,0.145,0.337,0.439,0.344,0.316,0.262,185,628,85.2,13.4,2242,88.9,88.99,279,1263,1191,0.1,6.45,107,151,107,146,292,325,292,-16.675,16.675,66.7,7.7,680,509,134,31,0,20,119,17.5,45,6.6,2.34906,0.59008,0.35541,0.13818,91,140,31.36094675,6.50887574,4.852941176,5.81,-0.92,0.24,2.05,0.349,33,0.679502852,0.319,0.399,-0.679502852,0.033,0.03,0.04,0.028,22.1,38.8,15.63492987,-3.755320556,30.00795301,0.485035211,40.0495554,27.68210559
2452,571448,"Arenado, Nolan",2452,100,0.272,0.123,0.296,0.394,0.313,0.295,0.255,157,578,86.3,17,2255,89.4,89.82,197,1148,1304,0.4,6.5,107,152,123,147,304,325,296,-0.49,0.49,68.7,8.2,632,493,118,23,0,16,92,14.6,41,6.5,2.26702,0.62084,0.31038,0.07537,91.3,151,31.70731707,3.25203252,2.53164557,5.74,-0.95,0.19,2.29,0.322,16,0.019983687,0.309,0.356,-0.019983687,0.017,0.013,0.038,0.018,17.2,38.2,10.76722797,-6.351895826,33.33408374,0.534372136,38.18598014,33.04755037
