player_id,player_name,hitter_cluster
665742,"Soto, Juan",4.0
621566,"Olson, Matt",0.0
683002,"Henderson, Gunnar",0.0
592450,"Judge, Aaron",2.0
542303,"Ozuna, Marcell",0.0
670623,"Paredes, Isaac",1.0
656941,"Schwarber, Kyle",0.0
680776,"Duran, Jarren",0.0
660271,"Ohtani, Shohei",2.0
650402,"Torres, Gleyber",3.0
683011,"Volpe, Anthony",3.0
624413,"Alonso, Pete",0.0
668227,"Arozarena, Randy",1.0
630105,"Cronenworth, Jake",3.0
682829,"De La Cruz, Elly",0.0
607043,"Nimmo, Brandon",1.0
595777,"Profar, Jurickson",1.0
623993,"Santander, Anthony",1.0
608070,"Ramírez, José",1.0
642715,"Adames, Willy",0.0
641857,"McMahon, Ryan",0.0
664023,"Happ, Ian",0.0
502671,"Goldschmidt, Paul",0.0
596019,"Lindor, Francisco",0.0
656305,"Chapman, Matt",0.0
661388,"Contreras, William",0.0
663697,"India, Jonathan",1.0
682998,"Carroll, Corbin",1.0
543760,"Semien, Marcus",1.0
668715,"Steer, Spencer",1.0
606192,"Hernández, Teoscar",0.0
668804,"Reynolds, Bryan",0.0
665489,"Guerrero Jr., Vladimir",0.0
677951,"Witt Jr., Bobby",0.0
621493,"Ward, Taylor",0.0
668939,"Rutschman, Adley",1.0
691026,"Winn, Masyn",3.0
553993,"Suárez, Eugenio",0.0
666969,"García, Adolis",1.0
678662,"Tovar, Ezequiel",1.0
518692,"Freeman, Freddie",0.0
663728,"Raleigh, Cal",0.0
650489,"Castro, Willi",1.0
673548,"Suzuki, Seiya",0.0
665862,"Chisholm Jr., Jazz",1.0
680977,"Donovan, Brendan",3.0
668709,"Bleday, JJ",1.0
668930,"Turang, Brice",3.0
547180,"Harper, Bryce",0.0
650490,"Díaz, Yandy",3.0
514888,"Altuve, Jose",1.0
571448,"Arenado, Nolan",3.0
467793,"Santana, Carlos",1.0
650333,"Arraez, Luis",3.0
682985,"Greene, Riley",0.0
665926,"Giménez, Andrés",3.0
650559,"De La Cruz, Bryan",1.0
608324,"Bregman, Alex",1.0
592518,"Machado, Manny",0.0
677594,"Rodríguez, Julio",0.0
665833,"Cruz, Oneil",0.0
667670,"Rooker, Brent",0.0
646240,"Devers, Rafael",0.0
683737,"Busch, Michael",1.0
624585,"Soler, Jorge",0.0
672580,"Garcia, Maikel",3.0
694384,"Schanuel, Nolan",3.0
663993,"Lowe, Nathaniel",3.0
621020,"Swanson, Dansby",1.0
666624,"Morel, Christopher",1.0
592206,"Castellanos, Nick",1.0
657077,"Verdugo, Alex",3.0
683734,"Vaughn, Andrew",1.0
606115,"Arcia, Orlando",1.0
669701,"Smith, Josh",1.0
457759,"Turner, Justin",3.0
572233,"Walker, Christian",0.0
663538,"Hoerner, Nico",3.0
663837,"Vierling, Matt",1.0
681297,"Cowser, Colton",0.0
681082,"Stott, Bryson",3.0
543807,"Springer, George",1.0
521692,"Perez, Salvador",0.0
687263,"Neto, Zach",1.0
647304,"Naylor, Josh",1.0
665161,"Peña, Jeremy",3.0
669257,"Smith, Will",1.0
670541,"Alvarez, Yordan",0.0
682928,"Abrams, CJ",1.0
694671,"Langford, Wyatt",1.0
656555,"Hoskins, Rhys",1.0
605137,"Bell, Josh",1.0
701538,"Merrill, Jackson",0.0
680757,"Kwan, Steven",3.0
457705,"McCutchen, Andrew",1.0
686668,"Doyle, Brenton",0.0
606466,"Marte, Ketel",0.0
686469,"Pasquantino, Vinnie",1.0
673237,"Diaz, Yainer",0.0
687401,"Ortiz, Joey",3.0
664761,"Bohm, Alec",3.0
676475,"Burleson, Alec",1.0
694192,"Chourio, Jackson",0.0
666971,"Gurriel Jr., Lourdes",1.0
641355,"Bellinger, Cody",1.0
669394,"Burger, Jake",0.0
657041,"Thomas, Lane",1.0
663898,"Rodgers, Brendan",3.0
678882,"Rafaela, Ceddanne",1.0
608385,"Winker, Jesse",1.0
680869,"Gelof, Zack",1.0
662139,"Varsho, Daulton",1.0
605141,"Betts, Mookie",1.0
686217,"Frelick, Sal",3.0
607208,"Turner, Trea",1.0
664034,"France, Ty",1.0
690993,"Keith, Colt",3.0
671218,"Ramos, Heliot",0.0
665750,"Taveras, Leody",1.0
643217,"Benintendi, Andrew",1.0
669127,"Langeliers, Shea",0.0
660821,"Sánchez, Jesús",0.0
681351,"O'Hoppe, Logan",0.0
696285,"Young, Jacob",3.0
663886,"Stephenson, Tyler",1.0
663624,"Mountcastle, Ryan",0.0
671277,"García Jr., Luis",1.0
608369,"Seager, Corey",0.0
676694,"Meyers, Jake",1.0
